Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
YB Tuan Sanisvara Nethaji Rayer a/l Rajaji,,D-48,P050,Jelutong,Pulau Pinang,04-2828678 / 04-2829678,04-2827678,p50.jelutong@yahoo.com,"No.90E, Lorong Perak,11600 Jelutong, Pulau Pinang.",/images/webuser/ahli/2022/P050.jpg,15.0,PH,FB : //m.facebook.com/RayerForJelutong?mibextid=LQQJ4d)  IG : rsn_rayer,
YB Tuan Ramkarpal Singh a/l Karpal Singh,,D-14,P051,Bukit Gelugor,Pulau Pinang,-,-,,"No. 144A, Jalan Utama, 10450 Georgetown, Pulau Pinang",/images/webuser/ahli/2022/P051.png,15.0,PH,FB : //www.facebook.com/ramkarpal?mibextid=ZbWKwl  Twitter : //twitter.com/ramkarpal?t=on2oea4sngdkDGfiVRU4BA&s=09  IG : //instagram.com/ramkarpal_singh?igshid=YmMyMTA2M2Y=,
YB Tuan Sim Tze Tzin,,D-43,P052,Bayan Baru,Pulau Pinang,04-6553088,04-6553088,bayanbarump@gmail.com,"19, Jalan Sungai Dua, 11700 Gelugor, Pulau Pinang.",/images/webuser/ahli/2022/P052.jpg,15.0,PH,FB : facebook.com/simtzetzin.mp  Twitter : @ simtzetzin  IG : @ simtzetzin,
YB Dato' Muhammad Bakhtiar bin Wan Chik,,D-27,P053,Balik Pulau,Pulau Pinang,-,-,pusatkhidmatbp@gmail.com,"882-N, Taman Seri Sayang, Jalan Balik Pulau,11000 Balik Pulau, Pulau Pinang",/images/webuser/ahli/2022/P053.jpg,15.0,PH,,
YB Tuan Kesavan a/l Subramaniam,,D-46,P062,Sungai Siput,Perak,05-5980062,05-5981062,kesavan.sgsiput@gmail.com,"No.229-229-1, Persiaran Komersila 2/2, Komersial Waterfront, 31100 Sungai Siput(U), Perak",/images/webuser/ahli/2022/P062.jpg,15.0,PH,FB : Kesavan Subramaniam,
YB Tuan Lee Chuan How,,C-51,P064,Ipoh Timor,Perak,-,-,mpipohtimor@gmail.com,"Pejabat MP Ipoh Timor & Adun Pasir Pinji, 12, Jalan Prince, Pasir Pinji,31650 Ipoh, Perak",/images/webuser/ahli/2022/P064.jpg,15.0,PH,FB : //www.facebook.com/HowardLee.my  Twitter : //twitter.com/howardlee_my  IG : //www.instagram.com/howardlee.my/,
YB Tuan Sivakumar a/l Varatharaju Naidu,,D-15,P066,Batu Gajah,Perak,05-2882105,05-2882105,sivakumarmpbg@gmail.com,"No.42A, Laluan Saujana 1, Taman Saujana, 31000 Perak.",/images/webuser/ahli/2022/P066.png,15.0,PH,,
YB Dato' Ngeh Koo Ham,,D-34,P068,Beruas,Perak,05-6722855,05-6723855,ngehkooham@gmail.com,Pusat Khidmat Parlimen Beruas Lot 1935 Kampung Baru 32400 Ayer Tawar Perak,/images/webuser/ahli/2022/P068.jpg,15.0,PH,FB : //www.facebook.com/ybngehkooham  Twitter : //twitter.com/ngehkooham  IG : //www.instagram.com/ngehkooham/,
YB Tuan Chong Zhemin,,C-50,P070,Kampar,Perak,-,-,parlimenkampar@gmail.com,"Pusat Khidmat Rakyat Parlimen Kampar, No.1, Jalan Terminal Kampar 1/A, Pusat Perdagangan Kampar, 31900 Kampar, Perak.",/images/webuser/ahli/2022/P070.jpg,15.0,PH,FB : //www.facebook.com/chongzheminbm  Twitter : //www.twitter.com/chongzhemin  IG : //www.instagram.com/chongzhemin,
YB Tuan Tan Kar Hing,,C-28,P071,Gopeng,Perak,05 - 830 0388,-,parlimen.gopeng@gmail.com,"78, Lebuh Lapangan Siber 2, Bandar Cyber, 31350 Ipoh, Perak",/images/webuser/ahli/2022/P071.jpg,15.0,PH,,
YB Tuan Chow Yu Hui,,C-29,P080,Raub,Pahang,09-3501746,-,chowyuhui@gmail.com,"No.15, Taman Sempalit Aman, 27600 Raub, Pahang Darul Makmur",/images/webuser/ahli/2022/P080.jpg,15.0,PH,FB : facebook.com/chowyuhui2,
YB Puan Young Syefura binti Othman,,C-38,P089,Bentong,Pahang,017-9015500,-,pejabatahliparlimenbentong@gmail.com,"P7 & P7-1, Jalan BG 2, Pusat Perniagaan Bintang Gemilang, 28700 Bentong, Pahang Darul Makmur.",/images/webuser/ahli/2022/P089.jpg,15.0,PH,,
YB Tuan William Leong Jee Keen,,D-31,P097,Selayang,Selangor,03-61388088,03-61388088,pkmselayang@gmail.com,"No. 26, Jalan Selayang Segar 1, 68100 Batu Caves, Selangor (Bersebelahan Kedai Wee Ho Hardware)",/images/webuser/ahli/2022/P097.png,15.0,PH,,
YAB Dato' Seri Amirudin bin Shari,,D-16,P098,Gombak,Selangor,03-55447013,03-55190032,amirudinshari@selangor.gov.my,"Pejabat Dato' Menteri Besar Selangor, Tingkat 21, Bangunan SSAS, 40503 Shah Alam, Selangor",/images/webuser/ahli/2022/P098.png,15.0,PH,FB : Amirudin Shari  Twitter : @AmirudinShari  IG : amirudin_shari,
YB Puan Hajah Rodziah binti Ismail,,C-26,P099,Ampang,Selangor,03-42969137,-,rodziah.p99@gmail.com,"Pusat Khidmat Rakyat Parlimen Ampang, No 30, AWF 1, Ampang Waterfront, 68000 Ampang, Selangor",/images/webuser/ahli/2022/P099.jpg,15.0,PH,FB : //www.facebook.com/RodziahIsmailsPage?mibextid=LQQJ4d  Twitter : //twitter.com/rodziah ismail  IG : //www.instagram.com/rodziah ismail,
YB Tuan Mohd Sany bin Hamzan,,C-45,P101,Hulu Langat,Selangor,03-87245580,-,parlimen.hululangat@amanah.org.my,"No.13-1, Jalan TPS 1/3, Taman Pelangi Semenyih, 43500 Semenyih, Selangor Darul Ehsan.",/images/webuser/ahli/2022/P101.jpg,15.0,PH,FB : Sany Hamzan/Pusat Khidmat Rakyat Parlimen Hulu Langat  IG : Mohd Sany Hamzan,
YB Tuan Syahredzan bin Johan,,C-25,P102,Bangi,Selangor,03-87401108,-,syahredzan.team@gmail.com,"67A, Tingkat 1, Taman Sri Reko, Jalan Reko, 43000 Kajang, Selangor",/images/webuser/ahli/2022/P102.jpg,15.0,PH,FB : //www.facebook.com/syahredzanjohan  Twitter : //www.twitter.com/syahredzan  IG : //www.instagram.com/syahredzanjohan,
YB Puan Yeo Bee Yin,,D-25,P103,Puchong,Selangor,,-,pusatkhidmatpuchong@gmail.com,"Pusat Khidmat Rakyat Parlimen Puchong, 26-1, Jalan Equine 1G, Equine Commercial Park,43300 Seri Kembangan, Selangor.",/images/webuser/ahli/2022/P103.png,15.0,PH,FB : facebook.com/yeobeeyin  Twitter : twitter.com/yeobeeyin  IG : instagram.com/yeobeeyin,
YB Tuan Wong Chen,,D-29,P104,Subang,Selangor,03-8080 7918,-,mp@wongchen.com,"Pusat Khidmat Rakyat Parlimen Subang (YB Wong Chen) 2-12, Jalan Cenuk 1, Bandar Puchong Jaya, 47100 Puchong, Selangor",/images/webuser/ahli/2022/P104.jpg,15.0,PH,,
YB Tuan Lee Chean Chung,,C-23,P105,Petaling Jaya,Selangor,-,-,parlimen105@pjlestari.com,"No. 78-1, Jalan Othman 1/14, Seksyen 1, 46000 Petaling Jaya, Selangor",/images/webuser/ahli/2022/P105.jpg,15.0,PH,FB : leecheanchung  Twitter : @cheanchung  IG : cheanchung,
YB Tuan Haji Azli bin Yusof,,C-46,P108,Shah Alam,Selangor,603-55238787,603-55198177,azliyusof67@gmail.com,"No.1B, Level 2, Blok 1, Worldwide Business Centre, Jalan Tinju 13/50,Seksyen 13,40000 Shah Alam, Selangor",/images/webuser/ahli/2022/P108.jpg,15.0,PH,FB : //www.facebook.com/azliyusof67  Twitter : //twitter.com/azliby  IG : //www.instagram.com/azliyusof_s.alam,
YB Tuan Ganabatirau a/l Veraman,,C-24,P110,Klang,Selangor,03-3381 6073,-,parlimenklang@gmail.com,"12-1 Jalan Raya Barat 2/KS1 Pusat Perniagaan Barat 41100, Klang Selangor Darul Ehsan",/images/webuser/ahli/2022/P110.jpg,15.0,PH,FB : //www.facebook.com/Ganabatirau  Twitter : //twitter.com/ganabatirau1?t=P47C6LaX737FA7oVwrADGA&s=08  IG : https;//instagram.com/ganabatirauveraman?igshid=YmMyMTA2M2Y=,
YB Tuan Lim Lip Eng,,D-47,P114,Kepong,Kuala Lumpur,03-62428606,03-62423606,parlimenkepong@gmail.com,"G4 & 1-4, Vista Magna, Jalan Prima 1, Metro Prima, Jalan Kepong, 52100 Kuala Lumpur",/images/webuser/ahli/2022/P114.jpg,15.0,PH,,
YB Tuan Prabakaran a/l M Parameswaran,,D-56,P115,Batu,Kuala Lumpur,03-27127115,-,supejabat.parlimenbatu@gmail.com,"No.698, Unit 1-1-7, Kompleks Kantomen Prima, Jalan Sultan Azlan Shah,51200 Kuala Lumpur.",/images/webuser/ahli/2022/P115.png,15.0,PH,,
YB Tuan Ir. Ts. Zahir bin Hassan,,C-17,P116,Wangsa Maju,Kuala Lumpur,-,-,zahirhassan@gmail.com,"No.7, Jalan Mulia 2/3, Bukit Antarabangsa, 68000 Ampang, Selangor",/images/webuser/ahli/2022/P116.jpg,15.0,PH,,
YB Tuan Fong Kui Lun,,D-19,P120,Bukit Bintang,Kuala Lumpur,03-21412762,03-21449440,kuilin@yahoo.com,"Pusat Khidmat Rakyat Parlimen Bukit Bintang, 30, Jalan Landak, Off Jalan Pudu, 55100 KL",/images/webuser/ahli/2022/P120.png,15.0,PH,,
YB Puan Teresa Kok Suh Sim,,D-9,P122,Seputeh,Kuala Lumpur,03-79836768,03-79837576,ybteresakok1@gmail.com,"J-1-10, Pusat Perdagangan Kuchai, No. 2, Jalan 1/127, Off Jalan Kuchai Lama, 58200 Kuala Lumpur",/images/webuser/ahli/2022/P122.jpg,15.0,PH,,
YB Tuan Tan Kok Wai,,D-13,P123,Cheras,Kuala Lumpur,03-92857532,-,cherasdap@gmail.com,"1, Jalan SP 6/5, Taman Segar Perdana, Cheras, 43200 Selangor",/images/webuser/ahli/2022/P123.jpg,15.0,PH,,
YB Dato' Seri Dr. Wan Azizah binti Dr. Wan Ismail,,D-1,P124,Bandar Tun Razak,Kuala Lumpur,03-91724200,-,nonaziza@gmail.com,"PEJABAT AHLI PARLIMEN BANDAR TUN RAZAK 41-1, Jalan Dwitasik 1, Bandar Sri Permaisuri, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",/images/webuser/ahli/2022/P124.png,15.0,PH,,
YB Tuan Cha Kee Chin,,D-55,P130,Rasah,Negeri Sembilan,06-6015557,06-6015357,pejabatmprasah@gmail.com,"Pusat Khidmat Rakyat Parlimen Rasah, No.531, Tingkat Bawah, Jalan Haruan 4/6, Pusat Komersial Oakland, 70300 Seremban, Negeri Sembilan",/images/webuser/ahli/2022/P130.jpg,15.0,PH,,
YAB Dato' Seri Aminuddin bin Harun,,D-12,P132,Port Dickson,Negeri Sembilan,06-7659930,06-7631394,aminuddinharunpd@gmail.com,"Pejabat Menteri Besar, Tingkat 5, Blok B, Wisma Negeri, 70503 Seremban.",/images/webuser/ahli/2022/PD.png,15.0,PH,FB : YAB Menteri Besar Negeri Sembilan  Twitter : MenteriBesarNS  IG : @dsaminuddinharun,
YB Tuan Khoo Poay Tiong,,D-51,P138,Kota Melaka,Melaka,-,-,ptkhoo70@gmail.com,"12, Jalan KLJ 8, Taman Kota Laksamana Jaya, 75200 Melaka",/images/webuser/ahli/2022/P138.jpg,15.0,PH,,
YB Tuan Yuneswaran a/l Ramaraj,,C-18,P140,Segamat,Johor,-,-,pusatkhidmatrakyat.segamat@gmail.com,"40, Jalan Bistari 1/1, Taman Yayasan, Buloh Kasap, 85010 Segamat, Johor",/images/webuser/ahli/2022/P140.jpg,15.0,PH,FB : www.facebook.com/R.Yuneswaran  Twitter : www.twitter/R_Yuneswaran  IG : www.instagram.com/r_yuneswaran/,
YB Tuan Pang Hok Liong,,D-52,P142,Labis,Johor,-,-,magnacartaphl@yahoo.com,"3, Jalan Putra 1/39, Bandar Putra, 85000 Segamat, Johor",/images/webuser/ahli/2022/P142.jpg,15.0,PH,,
YB Tuan Syed Ibrahim bin Syed Noh,,D-50,P144,Ledang,Johor,06-9791141,-,Khidmat4ledang@yahoo.com,"No.6A, Tingkat 1, Taman Emas, Jalan Sialang, 84900 Tangkak Johor.",/images/webuser/ahli/2022/P144.jpg,15.0,PH,FB : //www.facebook.com/syedibrahimsyednoh  Twitter : //twitter.com/_syedibrahim_  IG : //www.instagram.com/syedibrahim.sisna/?hl=en,
YB Tuan Tan Hong Pin,,C-30,P145,Bakri,Johor,06-9592116,06-9532693,tanhongpin.office@gmail.com,"No.20, Tingkat 2, Jalan Mega 1, Pusat Perdagangan Mega, Jalan Sakeh, 84000 Muar, Johor",/images/webuser/ahli/2022/P145.jpg,15.0,PH,FB : www.facebook.com/hongpintan  Twitter : @hongpin320  IG : @tanhongpin,
YB Tuan Haji Aminolhuda bin Hassan,,C-16,P149,Sri Gading,Johor,07-4315130,-,aminolhudahassan@gmail.com,"TL JPLD 21, Lot 4462, Kampung Parit Lintang, Parit Yaani, Yong Peng,83710 Batu Pahat, Johor.",/images/webuser/ahli/2022/P149.jpg,15.0,PH,FB : //www.facebook.com/aminolhuda  Twitter : //mobile.twitter.com/aminolhuda  IG : //www.instagram.com/aminolhuda,
YB Tuan Haji Onn bin Abu Bakar,,C-48,P150,Batu Pahat,Johor,-,-,onnab77@gmail.com,"Lot 374, Lorong A-8, Kampung Cheras Baru, 56100 Kuala Lumpur.",/images/webuser/ahli/2022/P150.jpg,15.0,PH,,
YB Puan Wong Shu Qi,,D-35,P152,Kluang,Johor,07-7711778,-,mp@wongshuqi.my,"15, Jalan Perniagaan Tasik 1, Pusat Perniagaan Tasik, 86000 Kluang, Johor",/images/webuser/ahli/2022/P152.jpg,15.0,PH,,
YB Tuan Jimmy Puah Wee Tse,,C-47,P158,Tebrau,Johor,-,-,tebrauparlimen@gmail.com,"Pusat Khidmat Rakyat Parlimen Tebrau,No.14, Jalan Gaya 2, Taman Gaya, 81100 Ulu Tiram, Johor",/images/webuser/ahli/2022/P158.jpg,15.0,PH,FB : //ms-my.facebook.com/JimmyPuahPublic/  Twitter : //twitter.com/jimmypuah,
YB Tuan Hassan bin Abdul Karim,,D-28,P159,Pasir Gudang,Johor,07-3823432,-,p195.parlimenpasirgudang@gmail.com,"PUSAT KHIDMAT RAKYAT PARLIMEN PASIR GUDANG, 11-02 BLOK A, JALAN KOTA 1, TAMAN CAHAYA KOTA PUTERI, 81750 MASAI, JOHOR",/images/webuser/ahli/2022/P159.jpg,15.0,PH,FB : //www.facebook.com/hassankarim2013,
YB Tuan Suhaizan bin Kaiat,,D-49,P161,Pulai,Johor,,,suhaizankayat@gmail.com,"39, Jalan PI 3/9, Taman Pulai Indah, 81110 Kangkar Pulai, Johor.",/images/webuser/ahli/2023/P161.jpg,15.0,PH,FB : suhaizan kayat  Twitter : suhaizan kayat  IG : suhaizan kayat,
YB Datuk Seri Panglima Madius bin Tangau,,D-24,P170,Tuaran,Sabah,-,088-239464,wtangau@yahoo.com,"Lot 9 & 10, Tingkat 2, & 3, New World Centre, Pekan Penampang, Peti Surat 420, 89507 Penampang, Sabah",/images/webuser/ahli/2022/P170.png,15.0,PH,,
YB Puan Vivian Wong Shir Yee,,D-36,P186,Sandakan,Sabah,089-218713,-,vivianwongshiryee@gmail.com,"Pusat Khidmat Rakyat Parlimen P186 Sandakan, B-7-2, Tingkat 2, Lorong Letat Jaya 1, Bandar Letat Jaya, 90000 Sandakan, Sabah.",/images/webuser/ahli/2022/P186.png,15.0,PH,,
YB Tuan Mordi anak Bimol,,D-42,P192,Mas Gading,Sarawak,082-764178,082-762178,mordibimol@gmail.com / pkmasgading@gmail.com,"Aras 1, Lot 732, Blok A, Pekan Bau, 94000 Kuching, Sarawak",/images/webuser/ahli/2022/P192.png,15.0,PH,,
YB Dr. Kelvin Yii Lee Wuen,,D-21,P195,Bandar Kuching,Sarawak,082-335531,-,kelvinyiidap@gmail.com,"97, Lorong Abang Abdul Rahim 5A,93450 Kuching",/images/webuser/ahli/2022/P195.png,15.0,PH,,
YB Tuan Chong Chieng Jen,,D-22,P196,Stampin,Sarawak,-,-,dapkuching@yahoo.com,"No. 11, Jalan Nyiur, DI Jalan Tabuan, 93200 Kuching, Sarawak.",/images/webuser/ahli/2022/P196.png,15.0,PH,,
YB Tuan Oscar Ling Chai Yew,,D-41,P212,Sibu,Sarawak,084-322001,084-339861,oscarling1977@gmail.com,"No.67, Tingkat 1, Rejang Park Commercial Centre, 96000 Sibu, Sarawak",/images/webuser/ahli/2022/P212.jpg,15.0,PH,,
YB Tuan Chiew Choon Man,,D-44,P219,Miri,Sarawak,-,-,pusatkhidmatmiri@gmail.com,"Pusat Khidmat Parlimen Miri, Lot 1286, First Floor, Jalan Baiduri 4, Pujut 4, 98000 Miri, Sarawak",/images/webuser/ahli/2022/P219.jpg,15.0,PH,FB : facebook.com/cmchiew.page/,
YB Datuk Seri Saravanan a/l Murugan,,D-8,P072,Tapah,Perak,03-40410145,03-40410135,sarannsaravanan@gmail.com,"No.39, Jalan Setiajaya, Bukit Damansara, 50490 Kuala Lumpur.",/images/webuser/ahli/2022/P072.png,15.0,BN,,
YB Dato' Indera Mohd Shahar bin Abdullah,,D-18,P084,Paya Besar,Pahang,-,-,shaharabdllh@gmail.com,"No.B78, Tingkat Bawah, Lorong Pandan Damai 1/17, Taman Pandan Damai,Jalan KTN-Bypass, 25150 Kuantan, Pahang",/images/webuser/ahli/2022/P084.png,15.0,BN,,
YB Dato' Sri Sh Mohmed Puzi bin Sh Ali,,C-15,P085,Pekan,Pahang,09-4221415,09-4221415,parlimenpekanP085@gmail.com,"Pusat Khidmat Ahli Parlimen Pekan, No. 1, Tingkat Atas, Lorong Peramu Aman 2, Peramu Aman, 26600 Pekan, Pahang Darul Makmur.",/images/webuser/ahli/2022/P085.png,15.0,BN,,
YB Dato' Sri Ismail Sabri bin Yaakob,,D-2,P090,Bera,Pahang,-,-,ismailsabri60@yahoo.com,"No.839, Lorong 17/22C, Seksyen 17, 46400 Petaling Jaya, Selangor.",/images/webuser/ahli/2022/YB Bera.jpg,15.0,BN,,
YB Datuk Seri Jalaluddin bin Alias,,D-20,P126,Jelebu,Negeri Sembilan,06-4920078,06-4920178,datukjaha@gmail.com,"KOMPLEKS UMNO BAHAGIAN JELEBU, 72300 SIMPANG PERTANG, NEGERI SEMBILAN DARUL KHUSUS",/images/webuser/ahli/2022/P126.jpg,15.0,BN,FB : //www.facebook.com/jalaluddinaliasofficial  Twitter : @jalaluddinalias  IG : @jalaluddin alias,
YB Dato' Haji Shamshulkahar bin Mohd Deli,,C-33,P127,Jempol,Negeri Sembilan,06-4581499,06-4581499,datoshamshul@gmail.com,"Pusat Khidmat Rakyat Parlimen Jempol, No. 201, Tingkat Bawah, Jalan Serting Utama 5/1,Pusat Perniagaan Bandar Seri Jempol,72120 Bandar Seri Jempol, Negeri Sembilan.",/images/webuser/ahli/2022/P127.jpg,15.0,BN,FB : Shamshulkahar Mohd Deli,
YB Dato' Adnan bin Abu Hassan,,C-32,P129,Kuala Pilah,Negeri Sembilan,-,-,ybnan7070@gmail.com,"No. 442, Jalan Margosa 15, Margosa Heights, Ampangan,70400 Seremban, Negeri Sembilan",/images/webuser/ahli/2022/P129.jpg,15.0,BN,,
YB Dato' Mohd Isam bin Mohd Isa,,C-31,P133,Tampin,Negeri Sembilan,06-4416672,06-4416607,parlimen133tampin@gmail.com,"Pejabat Ahli Parlimen Tampin, Tingkat 1 Bangunan UMNO, No 120, Jalan Besar Tampin, 73000 Tampin, Negeri Sembilan Darul Khusus",/images/webuser/ahli/2022/P133.jpg,15.0,BN,FB : MOHD ISAM,
YB Datuk Seri Ir. Dr. Wee Ka Siong,,D-5,P148,Ayer Hitam,Johor,07-4677111,07-4673555,weekasiong@yahoo.com,"54, JALAN TEMPLER, 83700, YONG PENG, JOHOR",/images/webuser/ahli/2022/P148.png,15.0,BN,,
YB Datuk Seri Utama Ir. Hasni bin Mohammad,,D-40,P151,Simpang Renggam,Johor,07-7559009,07-6907990,hasnimohammad35@gmail.com,"Pusat Khidmat Rakyat P151 Parlimen Simpang Renggam. No. 21, Jalan Seri Indah, Taman Seri Indah, 86200 Simpang Renggam Johor Darul Takzim",/images/webuser/ahli/2022/P151.png,15.0,BN,FB : //www.facebook.com/DatukHasniMohammad  Twitter : //twitter.com/hasni_johor  IG : //www.instagram.com/ir.hasnimohammad,
YB Dato' Seri Hishammuddin bin Datuk Hussein,,D-6,P153,Sembrong,Johor,-,-,dshh61@gmail.com,"Suite 5.03, Level 5, Menara Ampwalk North Block 218 Jalan Ampang, 50450 Kuala Lumpur",/images/webuser/ahli/2022/P153.png,15.0,BN,,
YB Tuan Haji Manndzri bin Haji Nasib,,C-27,P155,Tenggara,Johor,-,-,manndzri@yahoo.com / manndzri@tenggara.org.my,"No. A3 & A4, Pusat Khidmat Rakyat Parlimen Tenggara, D/A Pusat Perkhidmatan dan Transit Pelancongan Batu Ampat, 81900 Kota Tinggi, Johor Darul Ta'zim.",/images/webuser/ahli/2022/P155.jpg,15.0,BN,FB : //www.facebook.com/manndzri  Twitter : twitter.com/manndzri  IG : //www.instagram.com/manndzri/,
YB Dato' Sri Dr. Wee Jeck Seng,,D-30,P165,Tanjung Piai,Johor,07-6991025,07-6991025,pusatkhidmattp165.pns@gmail.com,"Lot 343, SH180, Jalan Besar, 81500 Pekan Nenas, Johor",/images/webuser/ahli/2022/P165.png,15.0,BN,FB : //www.facebook.com/dsweejeckseng  Twitter : //twitter.com/weejeckseng(@weejeckseng),
YB Datuk Ir. Shahelmey bin Yahya,,C-22,P173,Putatan,Sabah,088-223411200,-,shahelmey.73@gmail.com,"PUSAT KHIDMAT RAKYAT PARLIMEN P173 PUTATAN, Blok D, Lot D-18-1, 1st Floor, Royal Plaza Putatan, 88100, Putatan, Sabah",/images/webuser/ahli/2022/P173.jpg,15.0,BN,,
YB Datuk Hajah Siti Aminah binti Aching,,D-37,P177,Beaufort,Sabah,03-8880 3337,03-8000 3482,aminahaching@gmail.com,"D/A, Amri b Jupry, Jabatan Perkhidmatan Kebajikan Am Bahagian, Bangunan Tabung Haji, Tingkat 1, 2 & 4, Peti Surat 143, 89807, Beaufort, Sabah.",/images/webuser/ahli/2022/P177.jpg,15.0,BN,FB : //www.facebook.com/aminahaching  Twitter : //twitter.com/aminahaching,
YB Datuk Suhaimi bin Nasir,,C-34,P184,Libaran,Sabah,089-272766,089-272766,suhaimiehjnasir@gmail.com,"Pusat Khidmat Rakyat P184 Libaran, 1st Floor, Lot 16, MDLB 1645, Taman Hing Wah, Mile 8, Jalan Labuk, P.O.Box 786, 90000 Sandakan, Sabah",/images/webuser/ahli/2022/P184.png,15.0,BN,,
YB Datuk Seri Panglima Moktar bin Radin,,D-17,P187,Kinabatangan,Sabah,089-210494,-,pejabatparlimenp187@gmail.com,"C-2F-05, Bandar Leetat, Block C, Tingkat 2, Lot 5, Jalan Utara,90000 Sandakan, Sabah",/images/webuser/ahli/2022/P187.png,15.0,BN,FB : bungmoktar.radin  Twitter : @MyKinabatangan  IG : bungmoktar,
YB Datuk Andi Muhammad Suryady bin Bandy,,C-37,P191,Kalabakan,Sabah,-,-,andysuryady@gmail.com,"d/a Astana Hotel, TB 4713, Lot 2, Ground Floor, Jalan Dunlop, 91000, Tawau, Sabah.",/images/webuser/ahli/2022/P191.jpg,15.0,BN,FB : //www.facebook.com/amsuryady  Twitter : //twitter.com/andi_suryady  IG : //instagram.com/ani_suryady,
YB Datuk Willie anak Mongin,,D-33,P198,Puncak Borneo,Sarawak,082-619803,082-619083,puncakborneo198@gmail.com,"Pusat Khidmat Rakyat Puncak Borneo, No.8, Sinaruh Hill, Kampung Bratan, Batu 16, Jalan Puncak Borneo,93250 Kuching, Sarawak.",/images/webuser/ahli/2022/P198.jpg,15.0,GPS,FB : Willie Mongin-P.198 Puncak Borneo  Twitter : @williemongin  IG : willie_mongin,
YB Dato' Sri Dr. Richard Riot anak Jaem,,D-7,P199,Serian,Sarawak,082-873199,082-873199,pusatkhidmat.p199@gmail.com,"Pusat Khidmat Parlimen Serian, Tingkat 2, No 287, Lot 1182, Serian Bazaar, 94700 Serian, Sarawak P.O Box 102, 94707",/images/webuser/ahli/2022/P199.jpg,15.0,GPS,FB : Dato' Sri Richard Riot Jaem,
YB Puan Rodiyah binti Sapiee,,D-59,P200,Batang Sadong,Sarawak,-,-,parlimenbatangsadong@gmail.com,"No. 82, Lot 9291, Tabuan Park, 93350 Kuching, Sarawak.",/images/webuser/ahli/2022/P200.jpg,15.0,GPS,FB : //www.facebook.com/profile.php?id=100087549068243&mibextid=ZbWKwL,
YB Tuan Mohamad Shafizan Haji Kepli,,C-49,P201,Batang Lupar,Sarawak,-,-,18kemas@gmail.com,"PUSAT KHIDMAT MASYARAKAT PARLIMEN P.201 BATANG LUPAR, DATARAN TANDANG SARI, 94950, BETONG,SARAWAK",/images/webuser/ahli/2022/P201.jpg,15.0,GPS,FB : Mohamad Shafizan Haji Kepli/P.201 Batang Lupar,
YB Dato' Sri Doris Sophia anak Brodi,,D-10,P202,Sri Aman,Sarawak,-,-,dorisbrodie@gmail.com,"P202 SRI AMAN SERVICE CENTRE, SUBLOT UNIT 8, BLOCK 11, MTLD, JALAN BAYOR BUKIT, TABUAN JAYA, 93350, KUCHING, SARAWAK",/images/webuser/ahli/2022/P202 Doris.jpg,15.0,GPS,FB : //www.facebook.com/dorissophiabrodi,
YB Tuan Roy Angau anak Gingkoi,,D-54,P203,Lubok Antu,Sarawak,08-2366310,-,roygingkoi@gmail.com,"No.49, Lot 3338, Jalan Wan Alwi 1, Taman Linang Suboh, 93350 Kuching, Sarawak.",/images/webuser/ahli/2022/P203.jpg,15.0,GPS,,
YB Dr. Richard Rapu @ Aman anak Begri,,C-36,P204,Betong,Sarawak,-,-,richardrapu@gmail.com,"No. 140, Lorong 2A7, Tabuan Laru,93350 Kuching, Sarawak",/images/webuser/ahli/2022/P204.jpg,15.0,GPS,FB : Dr Richard Rapu  Twitter : @RapuRichard  IG : richardrapu,
YB Tuan Ir. Haji Yusuf bin Abd Wahab,,D-38,P206,Tanjong Manis,Sarawak,082-241686,082-251686,yusuf.abdwahab@gmail.com,"Lot 303, First Floor, Section 9, Lorong 7, Jalan Rubber, 93400 Kuching, Sarawak.",/images/webuser/ahli/2022/P206.jpg,15.0,GPS,,
YB Tuan Haji Ahmad Johnie bin Zawawi,,D-53,P207,Igan,Sarawak,082-421099,082-421399,ajzigan@yahoo.com,"Alunan Jujur Sdn Bhd., 2nd Floor, Lot 379,Lorong 6, Section 10, KTLD, Jalan Nanas,93400 Kuching, Sarawak",/images/webuser/ahli/2022/P207.jpg,15.0,GPS,FB : ahmadjohnie.zawawi.7  Twitter : @AhmadJohnieZ  IG : @ahmadjohniezawawi,
YB Tuan Edwin anak Banta,,C-35,P214,Selangau,Sarawak,-,-,edwinbanta@hotmail.com,"No.68, Lorong Song 6C, Jalan Song, 93350 Kuching, Sarawak",/images/webuser/ahli/2022/P214.jpg,15.0,GPS,,
YB Dato Anyi Ngau,,D-45,P220,Baram,Sarawak,-,085-650109,anyingau1000@yahoo.com,"Lot 7204, Ground Floor, Bandar Baru Permyjaya, 98000 Miri, Sarawak",/images/webuser/ahli/2022/P220.jpg,15.0,GPS,,
